gene	cluster
CDADC1	1
DDHD1	1
IFFO1	1
IL23A	1
GATD3B	2
PHYHIPL	2
STARD7	2
TMCO6	2
CHTF18	3
HLA-DMB	3
HLA-DRB1	3
HLA-DRB5	3
PHOSPHO1	3
MRPS11	4
PCMTD1	4
KCNH2	5
RHOH	5
MAP1A	6
PRKAG2	6
CPE	7
SERPINB11	7
C5orf22	8
IL6ST	8
OSM	8
DUSP28	9
PIFO	9
DET1	10
ETV1	10
FGD1	11
MICALL2	11
PITPNM1	11
TAP2	11
ARID3A	12
ERF	12
HSPB3	12
MARF1	12
OLFML3	12
PEG10	12
RTL8A	12
RTL8C	12
SERPINA7	12
GABRB1	13
NEUROD4	13
CCDC148	14
CCDC158	14
DNAJB8	14
SCGB1D1	14
SCGB2A1	14
TSGA13	14
ADD2	15
ANKRD29	15
ARHGAP42	15
C1orf52	15
C6orf58	15
CLIC1	15
CPT1A	15
DCAF16	15
DEF6	15
FDX2	15
GRID1	15
LDLRAP1	15
LHX4	15
MAPK8IP3	15
NTF4	15
SOX6	15
UBP1	15
ZNF184	15
ZNF302	15
MSH3	16
OTUD7B	16
SNX8	16
BLOC1S1	17
IDI2	17
LMX1B	17
PBX2	17
RPS6KC1	17
LDB3	18
NPC2	18
NUDT19	18
KLF3	19
LHX8	19
ADAP2	20
MICA	20
NCR3LG1	20
RYK	20
TNFSF9	20
POMT1	21
TMEM92	21
WWOX	21
AKT1S1	22
FAM114A1	22
METTL5	22
SEC24D	22
THUMPD3	22
ZNF501	22
HACD1	23
SEMG2	23
CDNF	24
CZIB	24
MANF	24
FOLR1	25
HOXB7	25
IRAK3	25
RBBP8	26
RGS17	26
TMEM54	26
ABCD4	27
AK9	27
DLEU1	27
L1CAM	27
PEA15	27
ITM2C	28
METTL15	28
MVB12B	28
PREPL	29
UNKL	29
ARHGAP10	30
ARHGAP26	30
C2CD2	30
CDC42EP2	30
NRXN1	30
SEC14L1	30
TULP1	30
AATK	31
ABHD16A	31
AOC1	31
ATP5MC3	31
CHCHD6	31
CXCR4	31
CYB561	31
CYB561A3	31
DNAJC1	31
ERLIN1	31
FA2H	31
HACD3	31
HM13	31
INVS	31
PAEP	31
PILRB	31
RNF5	31
SEC22A	31
SLC1A1	31
SLC25A12	31
SLC38A7	31
TMEM147	31
YIPF2	31
YIPF6	31
ZFP91	31
CD33	32
SLC39A11	32
ARHGEF15	33
C11orf49	33
RAB29	33
TPGS2	33
B3GALT2	34
GNPTG	34
LCN1	34
LRP5	34
PDYN	34
PECR	34
ST3GAL5	34
TMEM155	34
TMEM259	34
MTFMT	35
PRSS35	35
ERCC1	36
XPA	36
ZNF518A	36
B4GALT4	37
SP3	37
STK19	37
DNAAF3	38
MON1A	38
SP6	38
AP5B1	39
AP5M1	39
KCNRG	39
PAX6	39
SPG11	39
FADS1	40
MON2	40
PAAF1	40
AASDH	41
ECT2	41
GPSM2	41
ABRA	42
BCL2L14	42
MAP11	42
TECPR1	42
TRAPPC12	42
TRAPPC2	42
TRAPPC6B	42
TRAPPC8	42
CABLES1	43
CABLES2	43
CLEC2L	43
FIBP	43
TMEM94	43
CACTIN	44
CACTIN-AS1	44
CHMP1B	44
CHMP3	44
CXorf56	44
G2E3	44
KLHL36	44
LST1	44
PACRG	44
PDCL2	44
CCDC7	45
CIAO1	45
CIAO2A	45
IRF2BP2	45
IRF2BPL	45
MMS19	45
MPPED1	45
NR2F6	45
PHKA2	45
PHKB	45
UCK1	45
UCK2	45
UCKL1	45
UPRT	45
CLEC3B	46
KIR3DL1	46
RPS6KB1	46
ARHGAP17	47
CHMP7	47
ANP32E	48
PAPPA	48
EEF2KMT	49
PARL	49
COLEC10	50
INHBE	50
PTX3	50
TIMP2	50
TIMP3	50
DOLK	51
KCNA3	51
KCNA6	51
RHBDD1	51
DTWD2	52
FAT3	52
MFAP3	52
NAT8L	52
AEN	53
ZNF202	53
ZNF317	53
ZNF473	53
ZNF792	53
ZSCAN12	53
DND1	54
PAIP2B	54
RALGAPB	54
BUD13	55
CTU1	55
CWC15	55
FHL5	55
PPRC1	55
PRKCB	55
PRKCD	55
SGCE	55
SHCBP1	55
SIRT5	55
SLC25A38	55
ZNF131	55
ZNF446	55
ZSCAN16	55
AHSP	56
ANKHD1	56
HIGD1B	56
MYO3A	56
MYO9A	56
MYZAP	56
WDR89	56
IGF2	57
NMRK2	57
ENOX1	58
ENOX2	58
ANKZF1	59
NAA35	59
NRSN2	59
FGA	60
FOXI1	60
PDS5A	60
TRIM33	60
ACP2	61
TRHR	61
GTF3C6	62
INIP	62
EID2B	63
MAGEE1	63
SHPK	63
AXIN2	64
FRAT1	64
GPRASP2	64
GSK3A	64
GSKIP	64
KCNK5	64
DHX40	65
IFIT2	65
GLYAT	66
GPRASP1	66
DEFB127	67
TFEC	67
VPS39	68
XPO6	68
FIG4	69
PIKFYVE	69
SQLE	70
ZNF641	70
FAM151B	71
IRF5	71
TRIM15	71
GJA5	72
RIMS3	72
CNTF	73
EXT1	73
MYPN	74
PDLIM3	74
RYR1	74
MYH3	75
MYH4	75
TMEM260	75
TNNI1	75
ARID4B	76
C18orf25	76
CASP1	76
CDSN	76
CTSH	76
CTSK	76
CTSV	76
FMN2	76
MMRN1	76
MXD1	76
RNASE7	76
SAP30L	76
SUDS3	76
VSX2	76
DPP8	77
IL17A	77
IL17RA	77
IL2	77
CCL23	78
MPPE1	78
MUCL1	78
ABCC6	79
FURIN	79
C17orf80	80
CD3E	80
GHDC	80
GP1BB	80
TM2D3	80
MSTO1	81
NR1H3	81
TMEM161A	81
AIPL1	82
ATAD2	82
BCL2L10	82
BLM	82
CASP8	82
CASTOR1	82
GREB1	82
HMMR	82
IL13RA2	82
LSP1	82
PLIN4	82
RGS16	82
RMI2	82
SCGB2A2	82
ST14	82
VPS33A	82
VPS45	82
WDR24	82
WDR59	82
DCN	83
