gene	cluster
DDHD1	1
HSDL2	1
IFFO1	1
XRCC4	1
ATP5MC2	2
TAP1	2
TDP2	2
C19orf25	3
SCFD2	3
USE1	3
ATG12	4
BCL2L14	4
MAP1B	4
PRKAG2	4
TECPR1	4
TRAPPC12	4
TRAPPC2	4
TRAPPC6B	4
TRAPPC8	4
PPP2R5C	5
PSMG3	5
TAP2	5
NENF	6
PPT2	6
PPWD1	6
PTBP3	6
ADD2	7
BABAM1	7
C1orf52	7
DCAF16	7
DEF6	7
LHX4	7
PBDC1	7
SPATA2	7
UGGT2	7
CCDC6	8
GAPVD1	8
RASAL1	8
BLOC1S1	9
IDI2	9
LMX1B	9
PBX2	9
FAM114A1	10
SEC24D	10
THUMPD3	10
MRPL16	11
MRPL17	11
MRPL19	11
MRPL44	11
MRPL46	11
MRPL48	11
MRPL51	11
MRPL57	11
MRPS30	11
MTRES1	11
SLC30A9	11
FOLR1	12
IRAK3	12
B3GALT2	13
ST3GAL5	13
TMEM155	13
TMEM259	13
ANP32E	14
PAPPA	14
FADS1	15
MON2	15
PAAF1	15
OPA3	16
STARD7	16
AKAP1	17
FARP1	17
TNNI3	17
AIPL1	18
ATAD2	18
BLM	18
CASP8	18
CFLAR	18
CYFIP1	18
FKBPL	18
FOXO3	18
GREB1	18
HMMR	18
HNF4A	18
HR	18
LSP1	18
MSH5	18
NCKAP1	18
NR1H3	18
NR1H4	18
PPARD	18
PROX1	18
RARA	18
RXRG	18
SPTBN2	18
TMEM161A	18
VPS33A	18
VPS45	18
WASF1	18
C11orf49	19
RAB29	19
COLEC10	20
DDA1	20
MRPS11	20
MRPS18B	20
MRPS31	20
MRPS34	20
PTX3	20
RIOX1	20
TEX10	20
TRMT10B	20
USP42	20
ACAA2	21
CSRP1	21
ANKHD1	22
MYO3A	22
MYZAP	22
ZNF410	22
ALDH3A1	23
PIGR	23
UCP2	23
FOXI1	24
PDS5A	24
TRIM33	24
AP3B1	25
CCDC154	25
DDX20	25
GEMIN7	25
FRAT1	26
GPRASP2	26
GSK3A	26
CLIP1	27
CLIP4	27
DES	27
MYH3	27
PEG10	27
SNUPN	27
TNNT3	27
ZNF114	27
GLYAT	28
GPRASP1	28
AATK	29
ABHD16A	29
ATP5MC3	29
CHCHD6	29
CLIC1	29
CPT1A	29
DNAJC1	29
ERLIN1	29
FA2H	29
HACD3	29
INVS	29
NTF4	29
PAEP	29
RNF5	29
SEC22A	29
SLC25A12	29
ZFP91	29
CA14	30
XPO6	30
MSH3	31
SNX8	31
FAM151B	32
TRIM15	32
JAK2	33
UBP1	33
C18orf25	34
VSX2	34
AIP	35
TDGF1	35
CIAO1	36
MMS19	36
MPPED1	36
NR2F6	36
PHKA2	36
PHKB	36
UCK1	36
DNASE1L2	37
PHF13	37
PPP1R10	38
RSPH9	38
MLLT10	39
ZNF526	39
ING4	40
MSX1	40
CSGALNACT2	41
SLC8A3	41
C7orf26	42
INTS8	42
FZD6	43
KLF16	43
SMYD5	43
TMEM132A	43
ITGAV	44
KRT14	44
KRT3	44
NOP53	45
RRP12	45
CEBPA	46
CEBPB	46
DBP	46
HLF	46
RASGRF1	46
GFPT2	47
TARSL2	47
CPSF3	48
CPSF4	48
FAM124B	49
HOOK1	49
KRT19	49
TBC1D7	49
IL31RA	50
RET	50
TXNL4A	50
EGFL7	51
EGFL8	51
LIME1	51
SLC4A7	51
MKRN2	52
RBCK1	52
RDH5	52
UBE2G1	52
UHRF2	52
ACAP2	53
MBOAT7	53
FSBP	54
RAD54B	54
TCEANC	54
DCP1A	55
ERF	55
MARF1	55
PATL1	55
SERPINA7	55
CLOCK	56
RCOR1	56
TFPT	56
FAHD1	57
OR10H3	57
C17orf80	58
TM2D3	58
TAF1B	59
TAF1C	59
AK9	60
PEA15	60
AK6	61
BZW1	61
RNF138	61
CYP51A1	62
HTR3E	62
MORC1	63
MORC2	63
ARL15	64
FUNDC2	64
ACTBL2	65
BUD13	65
CTU1	65
CWC15	65
FHL5	65
PRKCB	65
PRKCD	65
SGCE	65
ZNF131	65
ZNF446	65
ALDH6A1	66
CD6	66
CMSS1	66
GYG1	66
GYG2	66
GYS2	66
PPP1R3C	66
TXNRD2	66
CDK19	67
MED11	67
MED6	67
CCNA1	68
CDKN2B	68
TGFB1I1	68
PEX14	69
PNPLA3	69
DIXDC1	70
E4F1	70
KRTAP10-4	70
ULK2	70
ZNF32	70
BST2	71
HAGH	71
HARS2	71
LACTB2	71
NUP210	71
COL4A2	72
ITLN2	72
CD58	73
FKBP14	73
FUT9	73
LIN7A	74
MINDY3	74
TRIM10	75
TRIM35	75
TRIM44	75
ZNF324	75
ADI1	76
ALDH5A1	76
ARFGAP2	76
