005	05	1000
005	05	100
005	05	20
005	2	1000
005	2	100
005	2	20
005	4	1000
005	4	100
005	4	20
01	05	1000
01	05	100
01	05	20
01	2	1000
01	2	100
01	2	20
01	4	1000
01	4	100
01	4	20
025	05	1000
025	05	100
025	05	20
025	2	1000
025	2	100
025	2	20
025	4	1000
025	4	100
025	4	20
05	05	1000
05	05	100
05	05	20
05	2	1000
05	2	100
05	2	20
05	4	1000
05	4	100
05	4	20
1	05	1000
1	05	100
1	05	20
1	2	1000
1	2	100
1	2	20
1	4	1000
1	4	100
1	4	20
2	05	1000
2	05	100
2	05	20
2	2	1000
2	2	100
2	2	20
2	4	1000
2	4	100
2	4	20
