	0.0503758	0.104772	0.217907	0.453207	0.942586	1.9604	4.07728	8.47998	17.6368	36.6813
0.247503	1e+31	1e+31	1e+31	1e+31	1e+31	1e+31	1e+31	1e+31	1e+31	1e+31
0.51476	1e+31	1e+31	1e+31	1e+31	1e+31	1e+31	1e+31	1e+31	1e+31	1e+31
1.07061	1e+31	1e+31	1e+31	1e+31	1e+31	1e+31	1e+31	1e+31	1e+31	1e+31
2.22666	1e+31	1e+31	1e+31	1e+31	1e+31	1e+31	1e+31	1e+31	inf	inf
4.63105	inf	inf	138016	22104.2	8049.98	5114.58	4730.37	4557.47	4411.58	4190.83
9.63172	3379	3440.29	3486.14	3593.73	3652.76	3723.61	3717.44	3778.88	3778.88	3778.88
20.0322	3721.01	3708.06	3708.06	3708.06	3708.06	3707.94	3705.95	1e+31	1e+31	1e+31
41.6632	1e+31	1e+31	1e+31	1e+31	1e+31	1e+31	1e+31	1e+31	1e+31	1e+31
86.6518	1e+31	1e+31	1e+31	1e+31	1e+31	1e+31	1e+31	1e+31	1e+31	1e+31
180.22	1e+31	1e+31	1e+31	1e+31	1e+31	1e+31	1e+31	1e+31	1e+31	1e+31
