	0.0447065	0.0929812	0.193384	0.402202	0.836506	1.73978	3.61842	7.52564	15.6519	32.5531
0.247503	1e+31	1e+31	1e+31	1e+31	1e+31	1e+31	1e+31	1e+31	1e+31	1e+31
0.51476	1e+31	1e+31	1e+31	1e+31	1e+31	1e+31	1e+31	1e+31	1e+31	1e+31
1.07061	1e+31	1e+31	1e+31	1e+31	1e+31	1e+31	1e+31	1e+31	1e+31	1e+31
2.22666	1e+31	1e+31	1e+31	1e+31	1e+31	1e+31	1e+31	1e+31	1e+31	1e+31
4.63105	1e+31	inf	inf	inf	inf	24254	9388.9	6985.36	6123.09	5991.05
9.63172	3511.51	3536.63	3544.1	3576.02	3658.29	3706.98	3741.96	3720.36	3780.17	3761.62
20.0322	3702.84	3702.84	3702.84	3702.84	3702.84	3701.51	3691.13	3686.8	3700.64	3696.89
41.6632	1e+31	1e+31	1e+31	1e+31	1e+31	1e+31	1e+31	1e+31	1e+31	1e+31
86.6518	1e+31	1e+31	1e+31	1e+31	1e+31	1e+31	1e+31	1e+31	1e+31	1e+31
180.22	1e+31	1e+31	1e+31	1e+31	1e+31	1e+31	1e+31	1e+31	1e+31	1e+31
