	4.64159e-13	1e-11	2.15443e-10	4.64159e-09	1e-07	2.15443e-06	4.64159e-05	0.001	0.0215443	0.464159	10	215.443	4641.59	100000	2.15443e+06	4.64159e+07	1e+09	2.15443e+10
4.64159e-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1e-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2.15443e-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4.64159e-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2.15443e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4.64159e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0215443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.464159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
215.443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4641.59	0.929208	0.929208	0.929208	0.929208	0.929208	0.929208	0.929208	0.929208	0.929208	0.929208	0.930551	0.930453	1	1	1	1	1	1
100000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2.15443e+06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4.64159e+07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2.15443e+10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
