Chr	Gene	nSNPs	nSims	Start	Stop	Test	Pvalue	Top.0.1.pvalue	Best.SNP	SNP.pvalue
1	AGRN	1	1e+05	905502	1041499	3.55713469362956	0.0591794082059179	0.0591794082059179	rs9442372	0.0592899999999995
1	RNF223	1	1e+05	957125	1059687	3.55713469362956	0.0582694173058269	0.0582694173058269	rs9442372	0.0592899999999995
1	C1orf159	4	1000	967197	1101736	6.60562377384895	0.162837162837163	0.227772227772228	rs9442372	0.0592899999999995
1	LOC254099	6	1000	1022396	1129434	3.21661510705802	0.764235764235764	0.713286713286713	rs4970362	0.197200000000001
1	MIR200B	8	1000	1052483	1152578	3.56373603379832	0.846153846153846	0.78021978021978	rs4970362	0.197200000000001
1	MIR200A	8	1000	1053242	1153332	3.56373603379832	0.844155844155844	0.783216783216783	rs4970362	0.197200000000001
1	MIR429	8	1000	1054384	1154467	3.56373603379832	0.856143856143856	0.785214785214785	rs4970362	0.197200000000001
1	TTLL10	10	1000	1059285	1183313	6.62546004399823	0.737262737262737	0.614385614385614	rs3766186	0.0885600000000001
1	TNFRSF18	9	1000	1088887	1192089	6.28349995395284	0.669330669330669	0.521478521478521	rs3766186	0.0885600000000001
1	TNFRSF4	8	1000	1096705	1199548	4.62050918803823	0.759240759240759	0.496503496503497	rs3766186	0.0885600000000001
1	SDF4	8	1000	1102287	1217447	3.57785352395167	0.853146853146853	0.46953046953047	rs3766186	0.0885600000000001
1	B3GALT6	6	1000	1117628	1220420	3.55243915646525	0.679320679320679	0.390609390609391	rs3766186	0.0885600000000001
1	FAM132A	5	1000	1127825	1232102	3.40972749711304	0.616383616383616	0.364635364635365	rs3766186	0.0885600000000001
1	UBE2J2	4	1000	1139291	1259234	3.30040602732135	0.496503496503497	0.298701298701299	rs3766186	0.0885600000000001
1	SCNN1D	2	1000	1165815	1277409	0.23868201712144	0.884115884115884	0.857142857142857	rs10399878	0.6258
1	ACAP3	2	1000	1177763	1293269	0.23868201712144	0.885114885114885	0.863136863136863	rs10399878	0.6258
1	MIR6726	2	1000	1181489	1281550	0.23868201712144	0.885114885114885	0.861138861138861	rs10399878	0.6258
1	PUSL1	2	1000	1193993	1297057	0.23868201712144	0.881118881118881	0.852147852147852	rs10399878	0.6258
1	CPSF3L	2	1000	1196964	1310067	0.23868201712144	0.883116883116883	0.846153846153846	rs10399878	0.6258
1	MIR6727	2	1000	1197881	1297946	0.23868201712144	0.896103896103896	0.862137862137862	rs10399878	0.6258
1	GLTPD1	2	1000	1210142	1314276	0.23868201712144	0.866133866133866	0.849150849150849	rs10399878	0.6258
1	TAS1R3	1	1000	1216725	1319844	0.237799456948615	0.645354645354645	0.645354645354645	rs10399878	0.6258
1	DVL1	1	1000	1220657	1334492	0.237799456948615	0.612387612387612	0.612387612387612	rs10399878	0.6258
1	MXRA8	1	1000	1238068	1348921	0.237799456948615	0.622377622377622	0.622377622377622	rs10399878	0.6258
1	MRPL20	1	1000	1287275	1392693	0.142915136626387	0.722277722277722	0.722277722277722	rs1781145	0.7054
1	ANKRD65	1	1000	1303799	1406824	0.142915136626387	0.716283716283716	0.716283716283716	rs1781145	0.7054
1	TMEM88B	1	1000	1311507	1413167	0.142915136626387	0.706293706293706	0.706293706293706	rs1781145	0.7054
1	VWA1	1	1000	1320902	1428262	0.142915136626387	0.696303696303696	0.696303696303696	rs1781145	0.7054
1	ATAD3C	1	1000	1335068	1455538	0.142915136626387	0.697302697302697	0.697302697302697	rs1781145	0.7054
1	ATAD3B	1	1000	1357163	1481582	0.142915136626387	0.699300699300699	0.699300699300699	rs1781145	0.7054
1	KIAA1751	8	1000	1834751	1985276	2.8356874409774	0.837162837162837	0.848151848151848	rs35020387	0.316299999999999
1	GABRD	26	1000	1900767	2012192	12.9446470766613	0.824175824175824	0.709290709290709	rs2459986	0.0498299999999997
1	PRKCZ	62	1000	1931908	2166834	46.9974067304566	0.628371628371628	0.747252747252747	rs2459986	0.0498299999999997
1	C1orf86	19	1000	2065898	2194159	16.4766950039354	0.413586413586414	0.647352647352647	rs115702560	0.110600000000001
1	SKI	18	1000	2110133	2291652	18.6728417945477	0.374625374625375	0.656343656343656	rs2173049	0.0690399999999999
1	MORN1	15	1000	2202695	2372993	14.512661702389	0.418581418581419	0.562437562437562	rs2173049	0.0690399999999999
