Gene	Ptilde	mean_bg_p	k	m	pk	pstar	z.score	PLEAN
CREB3	-1.9917277952699237	-2.294673598137199	2	178	8.44999155000845e-4	0.5687	0.3133483215916102	0.9455804129152077
EIF3I	-2.337858054713135	-1.851783805309811	4	78	0.00853991460085399	0.2496	-0.5621153334705177	0.8712560497382016
CEP135	-1.6373029803598893	-2.2045571139959543	2	157	0.001479985200148	0.6938	0.5960877081083067	0.9626456674813932
HNRNPUL1	-1.378969831331941	-1.876987817973248	26	82	0.228771228771229	0.6805	0.5645325409052148	0.9615824014979844
FAM107A	-0.3319631263791456	-1.4392254982150383	26	26	0.971028971028971	0.9808	1.442637611695951	0.9964109305592542
HSPA8	-1.882856989956154	-2.335082160804869	112	191	0.503496503496504	0.6344	0.46716845811073254	0.953386383538738
TSNAX	-1.119701164267258	-1.901465401889871	12	87	0.0873891261087389	0.8198	0.893853704163915	0.9769416418156092
RNF10	-3.506175539682816	-1.5119013836120152	19	31	0.300699300699301	0.0268	-2.5180919905024353	0.828797503024817
PIK3R1	-1.1089935236822237	-2.1185065689231	126	134	0.901098901098901	0.8846	1.0929697296644336	0.9854637594576754
RPL17	-2.2406870771885132	-1.975976723250326	82	101	0.695304695304695	0.3244	-0.2973828262537497	0.8876346183640121
SRSF2	-3.1135526147655312	-1.8385519445161187	46	77	0.411588411588412	0.0867	-1.5107976591659633	0.845644937958902
NDUFA2	-1.3242952265056922	-1.7676887011406792	20	62	0.223776223776224	0.6618	0.5207363482971743	0.9577999503420446
BRIX1	-1.9938489376757824	-1.7948856554587556	26	68	0.248751248751249	0.3403	-0.23333884101811206	0.8925710319259138
CEP72	-1.4900775372381734	-1.7307474571781134	19	58	0.215784215784216	0.549	0.28410211510438005	0.9406050252269061
CCNK	-0.5793093708933388	-1.4710977149719837	29	29	0.955044955044955	0.9161	1.1534535056111481	0.9887777978234348
FOS	-1.6135288544165218	-1.7676887011406792	7	62	0.046359536404636	0.5092	0.18105055719026003	0.9323317916470518
PTN	-2.985921105634237	-1.9613125137153842	79	94	0.696303696303696	0.1316	-1.1576012841430408	0.8559956951237507
SF3B1	-2.189411684743403	-2.0640578376108922	83	121	0.571428571428571	0.3876	-0.13756443545184507	0.9014866148239948
PPARD	-1.2075135116692777	-1.5710394735312054	22	38	0.441558441558442	0.6241	0.454481053603915	0.953386383538738
RPL22	-2.086869201614555	-1.9954738243871613	37	103	0.248751248751249	0.3873	-0.10119728319528734	0.9014866148239948
AMOTL1	-1.602006495979148	-1.4123068568675912	6	23	0.102288977110229	0.3218	-0.24997238455076218	0.8876346183640121
CCDC196	-2.1718731531109308	-0.9169062928121853	1	5	0.001349986500135	0.0409	-2.0476411312787834	0.8365811618284155
FGFR1OP	-3.3308883712400346	-2.1124557502322916	66	131	0.358641358641359	0.102	-1.3163738573155246	0.8559956951237507
NCBP2	-1.2726882456052877	-1.5119013836120152	5	31	0.0669993300066999	0.5595	0.3020450748980719	0.9431262108305885
REG1B	-0.2699736846603444	-0.8667708005193808	3	4	0.63536463536463506	0.8776	0.990939747386785	0.9854637594576754
UPF2	-2.141457650577333	-1.8543233226219933	3	76	0.00513994860051399	0.3174	-0.3330120559422592	0.8876346183640121
TSEN15	-0.6100512300323017	-1.0300853688181777	7	7	0.818181818181818	0.7074	0.6442222325194205	0.9640978553715891
TTLL12	-1.505627782561989	-1.6541040319014502	1	49	6.46999353000647e-4	0.5086	0.1824909053750714	0.9323317916470518
PSMB1	-1.6024062025259995	-1.9178788499228292	46	91	0.398601398601399	0.5769	0.3534529701222321	0.9459786529556188
RBM47	-0.7336776654204826	-0.778209030874121	3	3	0.569430569430569	0.4322	0.07698479776945785	0.9086285240707952
E2F8	-1.1174039399151712	-1.0300853688181777	6	7	0.519480519480519	0.3747	-0.1339237924210422	0.9014617582304503
PKM	-2.05590889429196	-1.9543240446022025	4	95	0.00843991560084399	0.3828	-0.11380127424716474	0.9014866148239948
FHL3	-4.750607898787829	-2.043080538533881	39	113	0.178821178821179	0.0081	-3.0067768600465907	0.8244932330588282
DNAJC7	-1.9091546344281367	-1.8182624523460196	35	72	0.350649350649351	0.3861	-0.10643768484605032	0.9014866148239948
UBA6	-2.902880647729447	-1.6541040319014502	45	49	0.734265734265734	0.0801	-1.534860802636813	0.845644937958902
ATXN1	-0.8089192073219029	-2.451471996261742	1	224	7.52999247000753e-4	0.9866	1.6588133772975926	0.9964109305592542
CUL3	-5.5831759790028634	-4.242096084556731	538	998	0.466533466533467	0.1615	-0.9642778744501015	0.8559956951237507
UHRF1BP1L	-0.942939012862866	-1.2771433277398763	15	16	0.786213786213786	0.6233	0.4628955021403126	0.9531745388918308
IQCN	-1.4023200967989895	-1.26284722760776	1	15	0.002689973100269	0.3468	-0.1939749540472764	0.8932915666023568
NME1	-2.417648160822802	-1.5560013341769554	9	37	0.0872991270087299	0.1285	-1.0743486767330235	0.8559956951237507
NUP62	-1.734709976310272	-1.8072194384667166	59	71	0.716283716283716	0.4603	0.08469162656928665	0.9185405398760217
UFD1	-2.460461860673891	-1.7676887011406792	5	62	0.016319836801632	0.1841	-0.8136163158255789	0.8584278729234309
SHTN1	-0.9182715228957611	-1.408634327149724	14	24	0.443556443556444	0.7158	0.6459212075622128	0.9651285577730813
C4A	-1.2604260259892839	-1.0597274458447277	7	8	0.537462537462537	0.31	-0.3024156756761172	0.8869620918818801
RPS23	-3.0686386191953794	-2.06809212011505	3	120	0.00151399848600151	0.1363	-1.092236030052405	0.8559956951237507
DYNLL1	-3.044500458592019	-2.1759574894221423	4	146	0.002879971200288	0.1738	-0.9223107487393863	0.8559956951237507
BARD1	-2.7123293983592145	-1.5119013836120152	3	31	0.00798992010079899	0.0785	-1.5157335113168597	0.845644937958902
