Gene	Ptilde	mean_bg_p	k	m	pk	pstar	z.score	PLEAN
HNRNPUL1	-1.1572908110294102	-1.8855855751957982	11	82	0.0816391836081639	0.7987	0.8312626691279297	0.9724145710547072
PCNA	-3.243227118561324	-1.9225064105300873	3	90	0.001759982400176	0.0843	-1.5064273308160407	0.8681720425800256
LIMA1	-3.682167017414796	-2.369474762739902	156	202	0.655344655344655	0.1081	-1.335070164231101	0.8877378158137942
HNRNPA2B1	-1.1623278858700778	-1.9528245046123736	7	98	0.036639633603664	0.8186	0.8887400261279071	0.9774171739765064
WDR47	-0.9029241489927071	-1.128568232669229	9	10	0.683316683316683	0.5606	0.33171396535507525	0.9467857817932569
PPM1K	-0.6606122772530325	-1.2894480553343146	14	16	0.758241758241758	0.8096	0.8564649550810995	0.9744687810692467
TSNAX	-2.5771648307097283	-1.916642840907184	3	87	0.003119968800312	0.201	-0.7409574198917148	0.9032600220256396
UBXN1	-1.7810751719255644	-1.9006736589598927	59	84	0.583416583416583	0.4831	0.13579481161085277	0.9415938418262879
PPA2	-3.909097910550421	-1.5265981430296678	15	33	0.168831168831169	0.012	-2.988058823816004	0.8288607036732225
DACH1	-1.4737979787731594	-1.253405662867685	10	15	0.3996003996004	0.3134	-0.3066775909427089	0.9132384727928622
TCL6	-0.5091577646111801	-0.6731501562098056	2	2	0.556443556443556	0.5271	0.29992221372645306	0.9416616493890873
SRSF2	-1.58058842497996	-1.867349135283978	77	80	0.895104895104895	0.5658	0.32857617793921673	0.947660084306358
TYMP	-0.988844888333263	-1.1920182845781713	12	12	0.827172827172827	0.5489	0.2913699552722135	0.9459661229276296
GOLGA2	-5.065852288374418	-2.715146450127099	252	314	0.693306693306693	0.0323	-2.1882268436886996	0.8577064900434599
CDK2	-2.6429865907766783	-2.2216593005563556	3	161	0.001589984100159	0.2949	-0.44521499121178454	0.9132384727928622
CBX4	-1.3103554570046188	-1.4736994723534913	12	30	0.248751248751249	0.5222	0.2116992345157504	0.9416616493890873
TXN	-3.002516011093084	-1.8296823882144566	14	74	0.0742092579074209	0.1028	-1.34575762569659	0.8877378158137942
CDK18	-1.1908844146969264	-1.7208811462053721	10	56	0.104895104895105	0.7133	0.6372479927992062	0.9633557248529592
FAM9B	-2.8052518722346744	-2.0145633206082874	47	108	0.296703296703297	0.1869	-0.8701503702604853	0.9029901607540395
ACAT2	-1.756642730612327	-1.5124905985974406	15	32	0.27972027972028	0.3096	-0.3122208210610792	0.9132384727928622
C15orf48	-2.8620824023371614	-2.056427422845463	40	118	0.215784215784216	0.1836	-0.8690472335717623	0.9029901607540395
ALDOA	-1.6453562594919406	-1.857960610640629	34	78	0.321678321678322	0.5323	0.2435131900613794	0.9420750714897163
PPP2R1A	-2.179372486784856	-2.1674299702644717	13	143	0.041339586604134	0.4315	-0.012875401469565133	0.9350093892344868
RXRB	-2.5398085189271016	-1.5265981430296678	24	33	0.474525474525474	0.1038	-1.270737670305307	0.8877378158137942
TRIM39	-2.3510305613107008	-1.6695898600133647	26	51	0.323676323676324	0.182	-0.8342849570088252	0.9029901607540395
SMURF2	-1.7364884852316211	-1.7305961251373738	13	59	0.117882117882118	0.4321	-0.007102880949748192	0.9350093892344868
PPARD	-1.966753733373489	-1.5354303823292377	5	34	0.039979600203998	0.2479	-0.5483440017201813	0.9046317435684685
MEIS2	-1.2423063140660486	-1.3775172898584354	2	21	0.018549814501855	0.4957	0.17653664836985503	0.9416616493890873
HSPA1L	-1.5182119967109335	-2.0619509572341452	89	121	0.651348651348651	0.6946	0.5962874315437324	0.9597011189292028
C1orf94	-0.8035661362390631	-1.7289953672045617	10	58	0.120879120879121	0.8967	1.1190141502000985	0.9863075021288331
HNRNPH3	-4.016032526726589	-1.783590801239907	3	64	0.001349986500135	0.0188	-2.631056295077133	0.8288607036732225
FKBP4	-2.3646189686444026	-1.6320033922007593	40	46	0.69030969030969	0.1624	-0.9029815950483137	0.8924480686259733
TSEN15	-1.121517178802765	-1.0769460040852141	5	8	0.320679320679321	0.3929	-0.06733429078852989	0.9271447535085499
KANSL1L	-0.5098189853827467	-0.6731501562098056	1	2	0.168831168831169	0.5261	0.29871292105356156	0.9416616493890873
TPD52	-1.5797647116591231	-1.4593858274733844	4	27	0.042559574404256	0.3629	-0.15456471844284167	0.9228823903741297
TBP	-1.7615262753681062	-1.5521533018550768	30	36	0.659340659340659	0.3276	-0.2634798215142687	0.9174756559888008
E2F8	-2.0492036820258366	-0.993139700977949	4	6	0.167832167832168	0.0655	-1.6150604409841463	0.8658923239873905
STIM1	-2.882407375591166	-1.32605341454763	7	18	0.101898101898102	0.0377	-2.0966674549560738	0.8658923239873905
PFDN5	-2.340748534388797	-1.7305961251373738	27	59	0.28971028971029	0.2012	-0.7355015400952841	0.9032600220256396
UBA6	-1.2516016299859614	-1.6795898882999556	1	49	0.00117599882400118	0.6499	0.5191014772904382	0.9535440122692368
NFKBIA	-3.0298419396466567	-1.854003630470021	40	77	0.340659340659341	0.1036	-1.354653695394748	0.8877378158137942
PIK3R1	-1.9627000429402628	-2.1500853845051147	4	140	0.00607993920060799	0.5241	0.20061087257919347	0.9416616493890873
PSME3	-1.4954185551875863	-2.056427422845463	23	118	0.130869130869131	0.6955	0.6051513574146887	0.9597011189292028
SMAD4	-3.8664908404522396	-2.133611479398644	1	136	9.99999000001e-7	0.0546	-1.8429084198703618	0.8658923239873905
RADIL	-1.447512952348944	-1.4321468721126487	9	25	0.190809190809191	0.4194	-0.020141445404208466	0.932834042678936
UHRF1BP1L	-0.6215825412668616	-1.253405662867685	2	15	0.0622593774062259	0.8189	0.8791866995832488	0.9774171739765064
IQCN	-1.393334980920509	-1.253405662867685	9	15	0.347652347652348	0.3464	-0.1947127148530054	0.9200197389167966
SERPINH1	-2.692092618915645	-1.673291415064023	21	50	0.228771228771229	0.1126	-1.237439475875892	0.8877378158137942
SNRNP40	-1.2393925198382436	-1.6795898882999556	41	49	0.729270729270729	0.6584	0.5339097506273022	0.9551808095518082
DDR1	-2.378890527296374	-1.1568222405223227	5	11	0.10989010989011	0.0565	-1.7696960508946273	0.8658923239873905
SHTN1	-0.5775376456998313	-1.4030127238801466	1	24	0.012719872801272	0.896	1.085042004741397	0.9861501888088702
RPL13	-5.399651573119467	-2.2177137619653666	71	157	0.281718281718282	0.0042	-3.3699860303439158	0.8288607036732225
POT1	-1.0762776116189081	-2.22765191413337	26	164	0.11988011988012	0.9175	1.2205550101589488	0.9892359718003095
THAP12	-1.0505212896171974	-1.128568232669229	1	10	0.00927990720092799	0.4697	0.11473494248909888	0.9406745892574921
SHISA3	-1.1059009616453814	-0.6731501562098056	1	2	0.039979600203998	0.1753	-0.7914487879157888	0.8985386266464841
TMEM120B	-2.0512013774635367	-1.2049182493805652	9	13	0.333666333666334	0.1106	-1.2155688156529307	0.8877378158137942
GK	-0.6745932951845746	-1.4593858274733844	19	27	0.609390609390609	0.8717	1.0076620796891818	0.9832195617342507
TSSK1A	-1.2203801601298947	-0.8554647716022887	2	4	0.107892107892108	0.2167	-0.5969640972797273	0.9033853896163782
TUBB3	-0.7185149416883195	-1.8093669138887736	58	69	0.79020979020979	0.9379	1.266795069011256	0.9911645667634824
ARHGAP10	-1.6509411220259707	-0.9259858246434797	5	5	0.467532467532468	0.1219	-1.1560398102654652	0.8877378158137942
