Gene	Ptilde	mean_bg_p	k	m	pk	pstar	z.score	PLEAN
KHDRBS1	-1.1159048978032762	-1.6884673268775783	2	53	0.00860991390086099	0.7295	0.69359817559011006	0.963791279748614
FOXM1	-2.348163041201334	-1.62847731516141	41	43	0.799200799200799	0.1615	-0.8951008071452214	0.8834694492380075
SF3A1	-1.974713463749559	-2.0647645505771637	118	119	0.946053946053946	0.4694	0.09902080621545306	0.9238189704322196
PUF60	-1.444573899220148	-1.97281770594275	23	99	0.158841158841159	0.6942	0.5904939722166032	0.9596704563120328
CTDSP2	-0.9836847634494706	-1.3778709847097936	14	22	0.47952047952048	0.6661	0.5348608414256021	0.9582603625471614
PPP1R12B	-0.9726808769276404	-1.2451796246513875	8	14	0.373626373626374	0.5812	0.3781806419821173	0.945462291913845
FH	-0.48852644167046066	-1.803525675432577	2	71	0.016389836101639	0.9833	1.5418314569479534	0.9967381937698667
BYSL	-0.5283131510554955	-1.9874186102783724	11	104	0.0871491285087149	0.9897	1.6346054486072958	0.9969771050425069
YWHAZ	-2.4527121343558744	-2.3157072692317366	61	188	0.235764235764236	0.3898	-0.14034158685908543	0.9192345772743371
CELF3	-1.0228107847554364	-1.1092404782265743	4	9	0.206793206793207	0.4717	0.12853173592734154	0.9238189704322196
C15orf48	-3.607467503391413	-2.053193404206863	56	120	0.310689310689311	0.0594	-1.7164715116514149	0.8548959124116201
BRIX1	-0.9319764165240912	-1.789592442369175	46	67	0.608391608391608	0.863	1.0142629187923948	0.9792376860729126
SRSF2	-2.066874384487278	-1.8477804686633468	28	78	0.233766233766234	0.3384	-0.2529875863043098	0.9109790958000639
HAX1	-4.508526783140068	-1.897364016728323	16	85	0.0585494145058549	0.0102	-2.934814778328656	0.812284784593436
GYG1	-1.0408012923565986	-1.2675726200859405	4	15	0.117882117882118	0.558	0.31157070012257376	0.9407483604918839
TEX11	-1.4357752287436032	-1.6782522997441676	6	50	0.0496395036049639	0.5535	0.29173176564930114	0.9397474999043874
ASS1	-1.6533117096051695	-1.8127997014348822	49	69	0.585414585414585	0.5013	0.18324255326977557	0.9294909357985063
CDK18	-1.395815185156803	-1.698160971490219	3	54	0.014009859901401	0.5907	0.36284242010252604	0.9458453509327648
TNFRSF1A	-1.6553739124694626	-1.853020923893982	18	76	0.144855144855145	0.5291	0.2260832866855837	0.9373996503407478
ZSCAN31	-1.5314267941634507	-0.7824681120833559	3	3	0.308691308691309	0.104	-1.2755259036545363	0.8602193215792924
SMAD9	-3.005568654085735	-2.083698107947592	9	126	0.019869801301987	0.1523	-1.007710414867583	0.8834694492380075
PPARD	-1.8811201189754403	-1.5574570179219356	18	36	0.30969030969031	0.2855	-0.4006628670176953	0.900940392346616
PTPRB	-2.0711989640889406	-1.379086420886499	19	21	0.649350649350649	0.1607	-0.9149432599903116	0.8834694492380075
CCDC196	-2.092926423478769	-0.9362952470224634	1	5	0.001619983800162	0.0535	-1.8229517665161257	0.8409954185304361
LGALS8	-2.5769970228000516	-1.9956176497943632	1	102	2.5999974000026e-5	0.2361	-0.646767989376662	0.8952486432796419
