Gene	Ptilde	mean_bg_p	k	m	pk	pstar	z.score	PLEAN
TPR	-3.301136828009796	-1.6682475019235503	1	50	9.99999000001e-6	0.05	-1.9828374051572075	0.8707925706335274
OSGIN1	-1.0538288906300044	-1.4485864809793578	10	26	0.248751248751249	0.6587	0.513695039572179	0.951434162870836
TLR4	-0.3504211267946845	-0.772472486599157	1	3	0.178821178821179	0.7508	0.7361206816241435	0.9659675850234388
UBE2J2	-0.2630888100836529	-1.0723832240991724	8	8	0.927072927072927	0.9511	1.218221689851328	0.9909586617782162
POT1	-1.4802056327539423	-2.228752104819414	1	158	2.12999787000213e-4	0.7679	0.7765539617346161	0.9681725641061578
FAM107A	-0.833869531340359	-1.4281812310684252	11	25	0.321678321678322	0.7795	0.7860245266786442	0.9684751859719235
GADD45G	-1.1009047061677073	-1.5905682743013447	38	39	0.897102897102897	0.7039	0.6112712995413797	0.9549640673516541
RPS28	-3.228307252200179	-1.950375004114886	18	95	0.0812091879081209	0.0903	-1.4511609657829334	0.8707925706335274
RPS11	-2.8537428473332587	-2.0997734227010394	15	130	0.047649523504765	0.1933	-0.8277823509788377	0.912867896883781
SS18L1	-1.3273011840411368	-1.5394586579966545	14	34	0.266733266733267	0.5397	0.26954534655309526	0.9322688490169355
TSSK3	-0.8515116654388117	-1.3671455390907072	6	21	0.172827172827173	0.737	0.6975046383027487	0.9619881141192731
TCL6	-0.22450916712198785	-0.6568719406853788	2	2	0.772227772227772	0.803	0.7919692024363855	0.9721280603797282
SRSF2	-3.04692791731441	-1.874269003232707	17	83	0.0888391116088839	0.1055	-1.3516269738098663	0.8823287883977559
DNAJA1	-0.8306066689040199	-1.968750591294678	68	100	0.624375624375624	0.9355	1.2714019819859697	0.9888897865506409
KRT1	-2.3604768501501385	-1.5252979587734194	9	33	0.10079899201008	0.1344	-1.0540254854941935	0.8925191623232499
CCNK	-2.9297922764899154	-1.4981419506821905	18	30	0.314685314685315	0.0558	-1.824308228565804	0.8707925706335274
GBE1	-1.7142272758618822	-1.3464078928692618	2	20	0.010749892501075	0.25	-0.49808686331222024	0.9174834454539041
THAP12	-0.4522981207089911	-1.17675210835535	6	11	0.444555444555445	0.8864	1.0405207019260894	0.9836154420332519
ZSCAN31	-0.48098394906768316	-0.772472486599157	3	3	0.691308691308691	0.6347	0.5083995962782808	0.9469378772448466
PPARD	-1.7104992556338023	-1.5743595585520715	5	37	0.042509574904251	0.3621	-0.170037060669231	0.9174834454539041
CCDC102B	-2.895101979944681	-1.6506460305286592	1	49	2.5999974000026e-5	0.0824	-1.5338053913415832	0.8707925706335274
MRPS10	-1.7143262821295253	-1.4485864809793578	26	26	0.859140859140859	0.2976	-0.34580517513781067	0.9174834454539041
TERF1	-1.491252856735814	-2.325911056650524	108	188	0.504495504495505	0.7983	0.8598294892248883	0.9720517832883
CCDC196	-0.7992973677557335	-0.9199749726192481	3	5	0.296703296703297	0.4988	0.1937599206466829	0.9235465103532638
VDAC3	-0.43083571552043326	-1.8739176395016488	27	84	0.2997002997003	0.9928	1.65759779212358	0.9981479410407254
RPS10-NUDT3	-0.8073094791248566	-0.4900917942533057	1	1	0.155844155844156	0.1914	-0.6541790963749204	0.912867896883781
DYNLL1	-2.139205811521645	-2.1312160192891896	14	139	0.048029519704803	0.4328	-0.00858115358639281	0.9189100813784499
SNRPB	-1.0375561169438139	-1.730442206665904	21	57	0.27972027972028	0.7954	0.8291455482841755	0.970539550819454
TUFM	-4.244138948929968	-1.987543910826396	60	105	0.380619380619381	0.0164	-2.529957189180494	0.8628737126287369
FN1	-4.414542780299929	-3.4211178288550337	229	620	0.294705294705295	0.1927	-0.816884286779226	0.912867896883781
OCRL	-2.6141561839912786	-1.4616442350248384	9	28	0.110889110889111	0.0764	-1.489634239337399	0.8707925706335274
CLIC2	-1.5781312781292878	-0.9199749726192481	1	5	0.00533994660053399	0.1387	-1.056735536580861	0.8925191623232499
E2F8	-2.624444887121962	-1.033212537916681	5	7	0.172827172827173	0.0271	-2.413329908608699	0.8628737126287369
CC2D1B	-0.2888081752355605	-1.0723832240991724	1	8	0.0863091369086309	0.9381	1.179506621596008	0.98936430247592555
PRR20C	-1.6127523413515137	-1.3756925866662997	20	22	0.707292707292707	0.3066	-0.3165131719508158	0.9174834454539041
UBA6	-1.7003866399266032	-1.6789985308319453	31	51	0.454545454545455	0.4239	-0.0260407630976227	0.9184718465539263
HMBOX1	-2.527505933310402	-1.6789985308319453	50	51	0.853146853146853	0.1456	-1.03308713064492	0.8925191623232499
TTC32	-0.5123900315701362	-1.1055965481726824	1	9	0.039979600203998	0.8187	0.8685969428341107	0.973317718092198
ATP12A	-2.9093896417848466	-1.4665567878524808	10	29	0.117882117882118	0.0518	-1.8859934837292731	0.8707925706335274
SPEN	-2.1717827925835858	-1.4117261228373994	11	23	0.225774225774226	0.1483	-0.9991887528447138	0.8925191623232499
COL2A1	-0.2730908838900929	-1.033212537916681	7	7	0.914085914085914	0.9341	1.152832471486428	0.9888066557234535
