Gene	Ptilde	mean_bg_p	k	m	pk	pstar	z.score	PLEAN
HNRNPUL1	-3.2603867774742525	-1.8490922574588862	41	80	0.32967032967033	0.0692	-1.6445720366807581	0.8816299578095881
ZBTB14	-1.1743605398812194	-1.552803099632963	22	36	0.472527472527473	0.6356	0.47707887314427944	0.9451324919441121
GMCL2	-1.997841745724792	-1.367846554542339	19	21	0.656343656343656	0.1702	-0.8507646380415148	0.8989028222683805
PPP1CA	-1.9469447967712494	-2.2242298671347585	50	163	0.226773226773227	0.5571	0.2951233010174666	0.9382281609947705
XPO1	-1.9660989575383432	-1.9483890195177225	69	98	0.586413586413586	0.4293	-0.02011141578723577	0.9280279869806284
VPS4B	-1.285277450300606	-1.5637671618075344	38	38	0.925074925074925	0.5764	0.34715274680822267	0.9395524814176854
ELMSAN1	-0.9537833370110722	-1.5110267797582995	30	31	0.884115884115884	0.7413	0.6965319239454216	0.959242898766962
SNRPA1	-1.6988519067998802	-2.0056763615494124	82	105	0.685314685314685	0.5738	0.33996235496707455	0.9395524814176854
PBXIP1	-0.4646219688637224	-1.487630418702642	27	29	0.886113886113886	0.9549	1.3124428334944653	0.9894355100953681
MRPL9	-1.6082760837734509	-1.8490922574588862	32	80	0.291708291708292	0.5548	0.2806214717103921	0.9377243616669694
UQCRQ	-2.212363628778867	-1.7617696912671243	39	65	0.437562437562438	0.2486	-0.5417598861947088	0.9207646229686395
CENPJ	-2.8812761398103417	-2.025636387736189	47	115	0.274725274725275	0.1641	-0.9530375665165484	0.8953771289537712
TNIP2	-0.6338610520825562	-1.2531669911655654	1	14	0.018709812901871	0.8097	0.8518782592939047	0.9701547977990002
SRSF2	-2.3055235389958555	-1.8574153992196385	45	82	0.401598401598402	0.2566	-0.5264180819877663	0.9207646229686395
PPP5C	-1.10628428108145	-1.9218575208855837	44	93	0.395604395604396	0.8297	0.9243339815474315	0.97527540794602
GOLGA2	-2.7213313143114433	-2.6907695094084483	142	315	0.36963036963037	0.442	-0.029208392227616217	0.9297156347306824
RDX	-1.1818552220367693	-1.7357344975139852	43	56	0.665334665334665	0.7238	0.6574272816279999	0.9570782989455905
U2AF2	-1.7903992916207603	-2.009211741418335	48	112	0.327672327672328	0.5362	0.24453235231124618	0.9365865076359469
CDK18	-2.7738050128901555	-1.7129468895598303	30	55	0.343656343656344	0.1107	-1.2631157488725369	0.8816299578095881
GSDME	-1.171507410911422	-0.9329317250964189	3	5	0.211788211788212	0.2845	-0.38492621281995554	0.9238253854497076
ZSCAN31	-1.1821581371061398	-0.782890514106365	3	3	0.403596403596404	0.2025	-0.6836003158055451	0.9132665352000031
PPARD	-1.0469132560502694	-1.552803099632963	3	36	0.029569704302957	0.7055	0.637743695291278	0.955141820272461
MED23	-0.6140166509858109	-1.3510401960134135	1	19	0.014559854401456	0.8605	0.9912732011311799	0.978555682893249
RXRG	-1.531845733127315	-1.6757883274959773	8	49	0.0755192448075519	0.502	0.17361227900903534	0.9365865076359469
TRMT10A	-0.8149231247491666	-1.1542413634199502	9	11	0.623376623376623	0.6395	0.4884530815107094	0.9456603674189717
ZNF768	-1.006736034287335	-1.2200385048849702	4	13	0.140859140859141	0.54990000000000006	0.30073803968072615	0.9371109180507514
ESR2	-1.5755963307753706	-2.2278422456951867	153	161	0.905094905094905	0.7331	0.6873856611677865	0.959242898766962
CCDC196	-1.005581878444379	-0.9329317250964189	4	5	0.414585414585415	0.3688	-0.11721625484796454	0.9273629449481187
CDC7	-0.7401709001559224	-1.3510401960134135	14	19	0.608391608391608	0.7934	0.821599752766008	0.968458709684587
RPS10-NUDT3	-0.5415118599142821	-0.6668376578947608	1	2	0.155844155844156	0.4919	0.2290012011933056	0.9351180210016655
CCNG1	-0.9044467793497425	-1.389718943650311	8	22	0.235764235764236	0.7157	0.6386186704504853	0.956019746862523
PSMD9	-2.91184693207384	-1.8611781540341286	11	79	0.047319526804732	0.1202	-1.212549214573248	0.8823901923533136
TSEN15	-0.3960462355057897	-1.0662941089795024	1	8	0.0621993780062199	0.8765	1.006619742700031	0.9804381315615949
AEN	-2.032401176845754	-1.5110267797582995	10	31	0.143856143856144	0.2182	-0.6516970574096829	0.9190659881380283
RBM47	-0.7336776654204826	-0.782890514106365	3	3	0.569430569430569	0.433	0.0842590707721339	0.9280279869806284
E2F8	-2.609814833126766	-0.9755134420893673	2	6	0.013019869801302	0.0239	-2.5546049580137113	0.8644016954236778
SIAH1	-1.9586829114842026	-1.9616534080108912	15	95	0.0824991750082499	0.4301	0.003312558754876364	0.9280279869806284
PPL	-0.7773237467436802	-1.4619730549628716	15	28	0.427572427572428	0.8199	0.8830343265890509	0.9729581267614354
HSPB1	-2.6374227745796923	-2.0295711218421224	7	111	0.016209837901621	0.2245	-0.6671844832638765	0.9207646229686395
