Gene	Ptilde	mean_bg_p	k	m	pk	pstar	z.score	PLEAN
WDYHV1	-2.222054596146372	-1.95702275034516	5	99	0.011549884501155	0.3244	-0.29226262745483	0.9087619393400466
PGAM1	-1.513329794264505	-1.4657044728132875	6	27	0.0903590964090359	0.3998	-0.06038433592786817	0.9164517536766065
SOAT1	-1.182242762707963	-1.5927996998077036	19	40	0.347652347652348	0.6525	0.5128896358522322	0.950879943075628
SEC23A	-3.1595686344049585	-1.7978645472880173	67	67	0.897102897102897	0.0762	-1.5897395081657384	0.8305207215127545
PRKAA1	-2.2636172229520324	-1.7712182757308184	27	66	0.258741258741259	0.2342	-0.5769731752818434	0.8982250411722241
FAM107A	-1.8513400287488297	-1.4605327201289797	3	28	0.018209817901821	0.2548	-0.5039132169289711	0.9003270391491376
GADD45G	-0.6521773295565693	-1.6030747521388575	41	41	0.964035964035964	0.9251	1.1810444432659009	0.9876417709898299
TSNAX	-2.427884242530819	-1.890608255090092	3	86	0.003569964300357	0.2345	-0.6183495683372965	0.8982250411722241
C15orf48	-2.347481124246526	-2.035260972449361	27	117	0.137862137862138	0.3185	-0.3482049957394438	0.9087619393400466
PSMD9	-1.9388923451245452	-1.86282091108204	79	79	0.945054945054945	0.3977	-0.08777797666353114	0.9164517536766065
TCL6	-0.6023864846997541	-0.6685235490983784	1	2	0.133866133866134	0.4363	0.11732726056047095	0.9195837865748832
KIF20A	-2.067337081498398	-1.4043543423876461	3	23	0.018549814501855	0.1729	-0.8662544653690313	0.8802655646037607
YWHAH	-2.235493825914665	-1.9995060023699878	63	108	0.457542457542458	0.3423	-0.2608618021348079	0.9087619393400466
PIN1	-2.4360896470237066	-2.098917761683826	31	128	0.148851148851149	0.3149	-0.366588575730554	0.9087619393400466
SRSF2	-2.384201032996791	-1.86282091108204	64	79	0.669330669330669	0.2364	-0.6016146895389174	0.8982250411722241
PRPF8	-0.9441125233106894	-1.9817455900475291	1	102	0.00118299881700118	0.9103	1.1505984407106267	0.9869535916739841
CCL5	-4.803824969726859	-1.3164844216516913	14	18	0.278721278721279	0.001	-4.633202769611668	0.7083291670832917
RPL23	-2.44059324276979	-2.1876648200028996	118	154	0.663336663336663	0.3432	-0.2699706391286386	0.9087619393400466
CDK18	-2.395631711836059	-1.6939211278650714	52	54	0.835164835164835	0.1756	-0.8340592263515941	0.8834240032786845
TPM3	-1.8954527424684835	-1.9125615923222568	74	91	0.704295704295704	0.4378	0.01936067247420882	0.9195837865748832
UBXN11	-0.7623219062824189	-1.4185597899324214	2	25	0.03009969900301	0.8139	0.8753647011625547	0.9759342083726361
APC	-2.208176763471768	-2.098917761683826	8	128	0.021209787902121	0.3932	-0.11879134528315977	0.9163161774928797
PPARD	-1.105148669355329	-1.524362416432552	3	34	0.029569704302957	0.6627	0.53365417710021	0.9537122910070212
CANX	-1.5400719103533818	-1.878525955767901	42	80	0.413586413586414	0.6084	0.3897980409049709	0.9438391340921312
NRBF2	-1.8920464055810229	-1.3164844216516913	17	18	0.695304695304695	0.186	-0.7646787978582831	0.8848339627943596
MAP2K7	-2.01620819701658	-1.225798970234577	3	13	0.035289647103529	0.1284	-1.098394395823174	0.8579131718761767
CAPN1	-1.065844412928504	-1.6817744698243073	3	52	0.019999800002	0.764	0.7476747171350095	0.9671979747205235
PSMA3	-2.1736186403203295	-2.163834031381916	73	144	0.401598401598402	0.4343	-0.010434009950421087	0.9195837865748832
SFI1	-1.0103173100808374	-1.2413358109046655	4	14	0.12987012987013	0.5631	0.3285108107138764	0.9398109713791002
FAM3C	-0.4909408171691227	-1.4189303295499782	9	24	0.312687312687313	0.9386	1.2215037051602355	0.9898915135504626
PARP6	-0.9731673145305793	-1.1743719222316793	7	11	0.405594405594406	0.5421	0.2871335838270202	0.9372936531850171
TSEN15	-1.3224527372477657	-1.0207878379760518	2	7	0.0519494805051949	0.2616	-0.4727497417956372	0.9033393095962449
PJA2	-0.8459416769625052	-1.225798970234577	7	13	0.357642357642358	0.6577	0.5278697515226218	0.9524021178545438
NCK1	-2.4412409140414337	-2.3034133948769635	96	179	0.433566433566434	0.3936	-0.1424720614885646	0.9163833300385847
CCP110	-1.8375865500386128	-1.5525110002292373	36	36	0.889110889110889	0.302	-0.3545893250636618	0.9087619393400466
ACAD9	-1.0921311017657926	-1.3778184872761288	15	21	0.53946053946054	0.5931	0.37960043503930746	0.9411915775282149
NINL	-1.9189244026163548	-2.343835499797913	13	198	0.032049679503205	0.6259	0.43754676425543026	0.9462403894413043
RDX	-1.5791346470685235	-1.7248735814488894	40	56	0.579420579420579	0.5003	0.176081137804133	0.9316911304387848
RBFOX2	-1.8960382156127997	-1.878525955767901	16	80	0.10989010989011	0.4271	-0.020168896403645872	0.9190522808184297
PSMG1	-0.999082498625494	-1.4185597899324214	25	25	0.912087912087912	0.6786	0.5595465042448026	0.9547598575659411
SMAD9	-1.6878142160779444	-2.0548902151697312	87	119	0.638361638361638	0.6023	0.40208926704005216	0.9427492624887172
BMPR1B	-1.8890637898785636	-1.7353374667067294	60	60	0.93006993006993	0.356	-0.18218556519470594	0.9087619393400466
DTNBP1	-2.4957812513482	-2.103141615823239	2	127	6.48999351000649e-4	0.2936	-0.42251881997966845	0.9087619393400466
SPRYD7	-0.5191471979714805	-1.0207878379760518	2	7	0.156843156843157	0.7783	0.7861388037152921	0.9685019199847885
GLRX3	-1.4701345146188367	-1.917673571303564	18	89	0.128871128871129	0.655	0.5131581718723961	0.9511349101762877
NFKB1	-3.372036333199964	-2.5245002205670546	175	251	0.593406593406593	0.1948	-0.8256508642463652	0.8848339627943596
IQCN	-1.2784836935234403	-1.2413358109046655	9	14	0.393606393606394	0.4088	-0.05282469149388102	0.9164517536766065
PUM1	-0.7764795500593301	-1.4043543423876461	13	23	0.443556443556444	0.7932	0.8203823575808027	0.9708586428075794
GNAI3	-2.0027360305829762	-1.7274536030003478	26	57	0.301698301698302	0.301	-0.32580388680202116	0.9087619393400466
SNRNP40	-2.529355083633809	-1.702184878102691	25	53	0.284715284715285	0.1511	-1.006263979902839	0.8661788688387799
SHTN1	-1.0848534940958743	-1.4189303295499782	1	24	0.003569964300357	0.6199	0.4397421381071773	0.9451693374913955
BBOX1	-0.7982506604916006	-1.2687352155546712	13	16	0.663336663336663	0.7194	0.6595438764649065	0.9612275286994122
COIL	-1.2317989970568577	-1.7712182757308184	7	66	0.0527394726052739	0.7107	0.6320696983231648	0.9596591446841269
SIMC1	-1.1420020828981916	-1.225798970234577	6	13	0.243756243756244	0.4737	0.11644857919035544	0.9233830318992882
ZNF496	-1.7577616230729514	-1.3387075582295744	6	20	0.10989010989011	0.236	-0.5671034915873852	0.8982250411722241
RBM17	-2.635583426337842	-1.446842415788681	10	26	0.144855144855145	0.0721	-1.5415916496344209	0.8305207215127545
YWHAG	-4.388810452744609	-2.3868622915304454	80	215	0.248751248751249	0.0343	-2.0618725240181086	0.8060266875650812
ARPC5L	-1.106110818286451	-1.5536754171099028	26	35	0.613386613386613	0.6763	0.5581211581392634	0.9547598575659411
PPP2CA	-1.2235489984529577	-1.9702596170651678	2	96	0.004109958900411	0.7932	0.8313402105279463	0.9708586428075794
TSSK1A	-0.657677547911193	-0.871386784806987	2	4	0.224775224775225	0.5545	0.3502877396543207	0.9389247573797913
MRPS9	-1.2923707177446397	-1.7978645472880173	2	67	0.00538994610053899	0.6923	0.5901454798894881	0.957126867266053
ARHGAP10	-1.0447920548565266	-1.0207878379760518	5	7	0.393606393606394	0.4063	-0.03761785795976765	0.9164517536766065
KRTAP23-1	-0.4728169776894058	-0.779564143379193	1	3	0.127872127872128	0.6404	0.5202485122907329	0.9490200933908449
NT5C2	-1.6608528036262042	-1.4043543423876461	8	23	0.15984015984016	0.3016	-0.3351413608538439	0.9087619393400466
ERCC3	-1.7329070477431288	-1.3896373482083861	3	22	0.025889741102589	0.2674	-0.4555964709592362	0.907649029671697
SLC22A23	-1.3131875164782085	-0.9831560442135083	5	6	0.415584415584416	0.2446	-0.5162554854290018	0.8986333484265371
ARHGAP33	-0.17392224691903066	-0.779564143379193	2	3	0.615384615384615	0.9101	1.0271791587896257	0.9869535916739841
FDPS	-0.8191867163886	-1.480857630681169	30	30	0.939060939060939	0.8046	0.8523048538186946	0.9741883489203246
ILVBL	-0.9259939547873731	-1.518124821682561	12	33	0.257742257742258	0.7666	0.7565241336462671	0.9673859693485926
PARD6B	-1.9877499637072369	-1.8121308117927055	41	71	0.433566433566434	0.3538	-0.2049590094301413	0.9087619393400466
ERICH2	-0.9153863863922544	-0.871386784806987	4	4	0.59040959040959	0.386	-0.0721191147788772	0.9141945048420552
SRC	-1.2973909281815628	-1.9702596170651678	41	96	0.341658341658342	0.7608	0.7491292925682421	0.9671979747205235
AMFR	-0.7116358690523521	-1.1743719222316793	2	11	0.0742092579074209	0.7213	0.6603579452451297	0.961670937760794
SYCE3	-1.7340988600571583	-0.779564143379193	2	3	0.0806091939080609	0.0726	-1.6189074320046806	0.8305207215127545
VCP	-3.7132444534834455	-2.254773799393642	46	169	0.161838161838162	0.0826	-1.535434258470875	0.8305207215127545
ATP5PO	-0.9886778805991467	-1.86282091108204	11	79	0.0910890891091089	0.8629	1.0086638630664206	0.9799266943346223
NDUFS3	-1.8935105660376652	-2.0704558985857746	17	125	0.0752792472075279	0.5145	0.19349785224975186	0.9341463425736333
MEOX2	-5.342733137909979	-2.3479749648887496	54	195	0.150849150849151	0.007	-3.0802519224227685	0.8060266875650812
DCUN1D1	-3.1689250348057354	-2.3958013381247354	18	209	0.036239637603624	0.1922	-0.7876909288436964	0.8848339627943596
MT1DP	-0.6463399469682543	-0.871386784806987	4	4	0.689310689310689	0.5635	0.36887103846297825	0.9398109713791002
DHX9	-2.616639812220497	-2.1202204265812017	64	136	0.34965034965035	0.2625	-0.539019894695279	0.9042646537485288
MARK2	-2.3119049524234647	-1.743074419752353	45	59	0.593406593406593	0.2133	-0.6660071713981964	0.8914175707000015
PTN	-1.9132534968112247	-1.9482930868249413	14	95	0.0757092429075709	0.4453	0.03947514196421788	0.9195837865748832
TEC	-1.1025453322666459	-1.2710900052163607	13	15	0.666333666333666	0.5199	0.2356579093698222	0.9341463425736333
ARL6IP5	-1.280374589382232	-1.3896373482083861	18	22	0.633366633366633	0.4885	0.14501637457642166	0.9276460589235194
TRAF1	-2.581529107810636	-2.2289885532893114	100	163	0.501498501498502	0.3127	-0.3691658985271077	0.9087619393400466
CERCAM	-0.6951596557348556	-1.1974905779248304	12	12	0.875124875124875	0.7501	0.7228461807118332	0.9655824048701809
SSC5D	-1.212269901416136	-1.1024784289138958	4	9	0.17982017982018	0.3592	-0.1650823506339394	0.9087619393400466
POLR2G	-2.690834751094802	-1.7978645472880173	7	67	0.026619733802662	0.1452	-1.042509915360594	0.8637948620792442
KIFAP3	-1.7311561806480822	-1.9007711222107793	1	88	2.12999787000213e-4	0.5067	0.19342174871490253	0.9329199956129549
FSD2	-2.9724690448930358	-1.6030747521388575	1	41	2.5999974000026e-5	0.0657	-1.7008306907650728	0.8305207215127545
HNRNPK	-2.31155214781174	-2.1882061688670067	59	155	0.281718281718282	0.392	-0.13012114924602267	0.9158039582331212
RABGEF1	-0.5097711684608355	-1.6744566931420168	2	49	0.022879771202288	0.97	1.4090491199941444	0.995509054672222
CEP72	-1.6149850052950445	-1.7274536030003478	54	57	0.853146853146853	0.4764	0.13310949993189103	0.9236463469848079
TRIM27	-3.5689818968375158	-2.5368797281707116	217	261	0.739260739260739	0.1592	-1.0083644633927387	0.873815449042337
TARDBP	-1.5369177296775411	-1.5736099640363497	4	39	0.030039699603004	0.4468	0.04626296267446965	0.9197611997497983
TFAP2C	-0.884462742475988	-0.9831560442135083	4	6	0.361638361638362	0.4776	0.15438212012771171	0.9244964926584265
